Course Title,Rating,Reviews,Level,Skill Outcome,Exact Learning Period
Introduction to Software Product Management,4.6 stars,7.4k reviews,Mixed," Agile Software Development, Product Management, Software Engineering ",1 month
Autodesk CAD/CAM for Manufacturing specialization ,4.8 stars,947 reviews,Intermediate," Entrepreneurship, Design and Product, Product Lifecycle ",3-6 months
Introduction to Blockchain specialization ,4.6 stars,159 reviews,Beginner," BlockChain, Finance, FinTech ",1-3 months
Research Data Management and Sharing free,4.7 stars,659 reviews,Mixed," Data Management, Computer Networking, Security Engineering ",1-3 months
Expressway to Data Science: Essential Math specialization ,4.5 stars,269 reviews,Intermediate," Mathematics, Algebra, Calculus ",3-6 months
The Unix Workbench,4.7 stars,1.3k reviews,Beginner," Computer Programming, Cloud Computing, Computer Programming Tools ",1-3 months
Careers in Sustainability,4.4 stars,30 reviews,Beginner," Data Analysis, Project Management, Strategy and Operations ",1-3 months
Machine Learning: Theory and Hands-on Practice with Python specialization ,3.3 stars,39 reviews,Intermediate," Machine Learning, Statistical Machine Learning, Machine Learning Algorithms ",3-6 months
Introduction to Semiconductor Devices 1,4.7 stars,60 reviews,Advanced," Computer Architecture, Graph Theory, Hardware Design ",1-3 months
Preparing for Google Cloud Certification: Cloud Data Engineer Professional Certificate 日本語版,4.4 stars,294 reviews,Intermediate," Cloud Computing, Data Management, Computer Architecture ",3-6 months
Blockchain Basics,4.6 stars,7.4k reviews,Beginner," BlockChain, Finance, Algorithms ",1 month
Advanced Machine Learning and Signal Processing,4.5 stars,1.2k reviews,Advanced," Machine Learning, Machine Learning Algorithms, Machine Learning Software ",1 month
VLSI CAD Part I: Logic,4.7 stars,529 reviews,Intermediate," Theoretical Computer Science, Algorithms, Mathematics ",1-3 months
Machine Learning: Algorithms in the Real World specialization ,4.6 stars,1k reviews,Intermediate," Machine Learning, Machine Learning Algorithms, Strategy and Operations ",3-6 months
Career 911: Your Future Job in Medicine and Healthcare free,4.5 stars,135 reviews,Mixed," Communication, Entrepreneurship, Leadership and Management ",1-3 months
Groundwork for Success in Sales Development,4.5 stars,306 reviews,Beginner," Business Development, Entrepreneurship, Market Research ",1 month
Digital Signal Processing 1: Basic Concepts and Algorithms,4.5 stars,527 reviews,Intermediate," Algorithms, Theoretical Computer Science, Mathematics ",1 month
Big Data – Introducción al uso práctico de datos masivos specialization ,4.6 stars,2.8k reviews,Beginner," Data Management, Big Data, Business Analysis ",3-6 months
Introduction to advanced tomography,4.7 stars,54 reviews,advanced," Experiment, Probability & Statistics, Computer Graphic Techniques ",1-3 months
Making Data Science Work for Clinical Reporting,4.0 stars,-,Intermediate," R Programming, Software Engineering, Agile Software Development ",1-3 months
Applications of Software Architecture for Big Data,1.0 stars,-,Advanced," Big Data, Software Engineering ",1 month
Introduction to Cybersecurity & Risk Management specialization ,4.6 stars,201 reviews,Beginner," Advertising, Cloud Computing, Cloud Infrastructure ",1-3 months
Electrodynamics specialization ,4.7 stars,897 reviews,Advanced," Mathematics, Linear Algebra, Artificial Neural Networks ",3-6 months
Understanding Modern Physics II: Quantum Mechanics and Atoms,4.6 stars,29 reviews,Beginner," Computer Graphics, Human Computer Interaction, User Experience ",1 month
Applied Machine Learning in Python,4.6 stars,8.4k reviews,Intermediate," Applied Machine Learning, Data Analysis, Data Mining ",1 month
Front-End Developer Capstone,4.5 stars,171 reviews,Intermediate," Application Development, Business Psychology, Cloud Computing ",1 month
Building Scalable Java Microservices with Spring Boot and Spring Cloud,4.3 stars,1.2k reviews,Intermediate," Cloud Computing, Computer Programming, Google Cloud Platform ",1 month
Desain UX Google,4.9 stars,291 reviews,Beginner," Human Computer Interaction, User Experience, Research and Design ",3-6 months
Hypothesis-Driven Development,4.7 stars,937 reviews,Mixed," Computer Science, Design and Product, Product Design ",1 month
Quantum Optics 1 : Single Photons,4.8 stars,297 reviews,Mixed," Theoretical Computer Science, Algorithms, Computational Logic ",1-3 months
Game Design and Development 1: 2D Shooter,4.7 stars,403 reviews,Beginner," Software Engineering, Computer Graphics, Computer Programming ",1 month
Linux Kernel Programming and Introduction to Yocto Project,4.6 stars,5 reviews,Advanced," Linux, Operating Systems, Theoretical Computer Science ",1 month
Network Security,4.8 stars,55 reviews,Beginner," Cloud Computing, Cloud Platforms, Computer Networking ",1-3 months
Google Proje Yönetimi,4.9 stars,749 reviews,Beginner," Leadership and Management, Project Management, Strategy and Operations ",3-6 months
Los bits y ,4.8 stars,3.6k reviews,Beginner," Computer Networking, Network Architecture, Computer Architecture ",1-3 months
CertNexus Certified Artificial Intelligence Practitioner,4.7 stars,155 reviews,Intermediate," Machine Learning, Probability & Statistics, Machine Learning Algorithms ",3-6 months
Confronting Gender Based Violence: Global Lessons for Healthcare Workers,4.8 stars,258 reviews,Beginner," Business Psychology, Human Resources, Adaptability ",1 month
Preparar datos para la exploración,4.7 stars,743 reviews,Beginner," Computer Networking, Network Security, Security Engineering ",1-3 months
Mastering Programming with MATLAB,4.8 stars,360 reviews,Intermediate," Computer Programming, Other Programming Languages, Algorithms ",1-3 months
Access Controls,4.7 stars,309 reviews,Beginner," Security Engineering, Human Factors (Security), System Security ",1-3 months
Containerized Applications on AWS free,4.7 stars,134 reviews,Beginner," Amazon Web Services, Cloud Computing, Docker (Software) ",1 month
Microsoft Azure Management Tools and Security Solutions,4.7 stars,395 reviews,Beginner," Cloud Computing, Microsoft Azure, Computer Networking ",1 month
Real-Time Embedded Systems specialization ,3.8 stars,65 reviews,Intermediate," Operating Systems, Theoretical Computer Science, Algorithms ",3-6 months
Cybersecurity and Its Ten Domains,4.4 stars,2.4k reviews,Beginner," Security Engineering, Security Strategy, Computer Security Incident Management ",1-3 months
Web Technologies and Security new specialization ,4.2 stars,20 reviews,Beginner," Angular, Computer Programming, Cryptography ",1-3 months
Ethics in the Age of AI specialization ,4.7 stars,225 reviews,Beginner," Machine Learning, Machine Learning Algorithms, Mathematics ",3-6 months
Learn English specialization ,4.3 stars,796 reviews,Beginner," Communication, Business Psychology, Leadership and Management ",3-6 months
Working for a sustainable future: concepts and approaches free,4.7 stars,74 reviews,Beginner," Entrepreneurship, Leadership and Management, Research and Design ",1-3 months
Secure Software Design specialization ,4.6 stars,381 reviews,Beginner," Software Engineering, Databases, Security Engineering ",3-6 months
Introduction to Logic free,4.4 stars,620 reviews,Intermediate," Mathematics, Theoretical Computer Science, Computational Logic ",1-3 months
Aprende a programar con Python specialization ,4.5 stars,2k reviews,Beginner," Statistical Programming, Computer Programming, Python Programming ",3-6 months
Photovoltaic Systems,4.6 stars,111 reviews,Intermediate," Mathematics, Operating Systems, Theoretical Computer Science ",1-3 months
Web Application Technologies and Django,4.7 stars,1.8k reviews,Intermediate," Computer Science, Web Development, Databases ",1-3 months
Scrum Master Certification: Scaling Agile and the Team-of-Teams,4.5 stars,351 reviews,Beginner," Agile Software Development, Continuous Integration, DevOps ",1 month
Legal Tech & Startups,4.5 stars,224 reviews,Intermediate," Sales, Advertising, Business Development ",1 month
Full Stack Web Development with Angular specialization ,4.7 stars,11.3k reviews,Intermediate," Angular, Application Development, Cloud Computing ",1-3 months
Fashion Systems,4.7 stars,161 reviews,Intermediate," Design and Product, Entrepreneurship, Business Design ",1 month
Managing an Agile Team,4.7 stars,1.3k reviews,Mixed," Agile Software Development, Computer Science, Software Engineering ",1 month
Python Essentials for MLOps,4.2 stars,44 reviews,Intermediate," Computer Programming, Python Programming, Statistical Programming ",1-3 months
Web Design: Strategy and Information Architecture,4.8 stars,1.2k reviews,Intermediate," Computer Programming, Data Visualization, Design and Product ",1-3 months
IBM Cybersecurity Analyst Assessment,4.8 stars,949 reviews,Intermediate," Cloud Infrastructure, Computer Networking, Computer Security Incident Management ",1 month
Architecting with Google Compute Engine 日本語版 specialization ,4.5 stars,858 reviews,Intermediate," Cloud Computing, Google Cloud Platform, Cloud Platforms ",3-6 months
Developing Applications with Google Cloud 日本語版 specialization ,4.5 stars,713 reviews,Intermediate," Cloud Computing, Google Cloud Platform, Cloud Platforms ",3-6 months
Architecting with Google Kubernetes Engine 日本語版 specialization ,4.5 stars,700 reviews,Beginner," Cloud Computing, Cloud Platforms, Google Cloud Platform ",3-6 months
Networking in Google Cloud 日本語版 specialization ,4.5 stars,690 reviews,Intermediate," Cloud Computing, Cloud Platforms, Google Cloud Platform ",3-6 months
Security in Google Cloud 日本語版 specialization ,4.5 stars,691 reviews,Intermediate," Cloud Computing, Cloud Platforms, Google Cloud Platform ",3-6 months
Preparing for Google Cloud Certification: Cloud Architect Professional Certificate 日本語版,4.5 stars,873 reviews,Intermediate," Cloud Computing, Google Cloud Platform, Cloud Platforms ",3-6 months
Google Cybersecurity Action Team: Cybersecurity Essentials,4.6 stars,9 reviews,Beginner," Data Management, Databases, Operating Systems ",1-3 months
Introduction to Blockchain for Financial Services,4.7 stars,618 reviews,Beginner," BlockChain, Finance, FinTech ",1-3 months
JavaScript Basics,4.7 stars,784 reviews,Beginner," Computer Programming, Javascript, HTML and CSS ",1 month
Robótica free,4.5 stars,1.4k reviews,Mixed," Computational Logic, Computer Programming, Theoretical Computer Science ",1-3 months
How To Create a Website in a Weekend! (Project-Centered Course),3.3 stars,573 reviews,Mixed," Computer Architecture, Computer Graphics, Computer Programming ",1 month
Urbanisation and Health - Promoting  Sustainable Solutions free,4.8 stars,131 reviews,Mixed," Entrepreneurship, Leadership and Management, Planning ",1-3 months
IT-поддержка Google,4.8 stars,204 reviews,Beginner," Computer Networking, Computer Architecture, Network Architecture ",3-6 months
Ciberseguridad specialization ,4.7 stars,270 reviews,Beginner," Security Engineering, Computer Networking, Network Security ",1-3 months
Cybersecurity Capstone:  Breach Response Case Studies,4.8 stars,1.3k reviews,Beginner," Security Engineering, Cyberattacks, Computer Security Incident Management ",1-3 months
Introduction to the Internet of Things and Embedded Systems,4.7 stars,12.9k reviews,Mixed," Internet Of Things, Computer Networking, Network Model ",1 month
Introduction to Networks and Cisco Devices guided project ,4.5 stars,321 reviews,Advanced," Computer Networking, Networking Hardware, Information Technology ",1 month
Introduction to Blockchain Technologies,4.7 stars,2.3k reviews,Beginner," BlockChain, FinTech, Finance ",1-3 months
Data & Cybersecurity free,4.8 stars,60 reviews,Intermediate," Cyberattacks, Security Engineering, Computer Networking ",1-3 months
The Social and Technical Context of Health Informatics,4.2 stars,411 reviews,Beginner," Data Management, Operating Systems, Theoretical Computer Science ",1 month
Introducing Security: Aligning Asset and Risk Management,4.7 stars,64 reviews,Beginner," Accounting, Business Psychology, Computer Networking ",1-3 months
Build a Data Science Web App with Streamlit and Python guided project ,4.6 stars,712 reviews,Intermediate," Computer Programming, Data Science, Data Visualization ",1 month
Introduction to Android Mobile Application Development,4.6 stars,795 reviews,Beginner," Application Development, Software Engineering, Android Development ",1 month
Mercados financeiros free,4.8 stars,59 reviews,Beginner," Finance, Risk Management, Accounting ",1-3 months
Data Collection and Processing with Python,4.7 stars,3.7k reviews,Intermediate," Computer Programming, Computer Science, Python Programming ",1 month
VLSI CAD Part II: Layout,4.7 stars,273 reviews,Intermediate," Algorithms, Theoretical Computer Science, Applied Mathematics ",1-3 months
Automating Real-World Tasks with Python,4.8 stars,2.3k reviews,Beginner," Computer Programming, Statistical Programming, Application Development ",1-3 months
Project Planning and Execution,4.7 stars,59 reviews,Beginner," Leadership and Management, Strategy and Operations, Project Management ",1 month
Hardware Description Languages for FPGA Design,4.4 stars,522 reviews,Intermediate," Computer Architecture, Hardware Design ",1 month
Docker for absolute beginners guided project ,4.4 stars,236 reviews,beginner," Cloud Computing, Computer Architecture, Computer Networking ",1 month
Strategic Technology Management specialization ,4.8 stars,54 reviews,Beginner," Entrepreneurship, Research and Design, Innovation ",1-3 months
APIs,4.5 stars,143 reviews,Intermediate," Back-End Web Development, Django (Web Framework), Computer Programming Tools ",1 month
Modernizing Data Lakes and Data Warehouses with Google Cloud,4.7 stars,2.7k reviews,Intermediate," Data Management, Big Data, Data Science ",1-3 months
Cybersecurity Foundations new specialization ,4.7 stars,401 reviews,Beginner," Operating Systems, Security Engineering, Accounting ",1-3 months
Introduction to Test Driven Development (TDD),4.8 stars,132 reviews,Intermediate," Software Engineering, Software Testing ",1 month
إدارة الفعاليات | Events Management,4.3 stars,34 reviews,Beginner," Business Psychology, Entrepreneurship, Leadership and Management ",1-3 months
Full Stack Software Developer Assessment,4.7 stars,79 reviews,Intermediate," Application Development, Cloud Computing, Cloud Platforms ",1 month
Fundamentos do Suporte Técnico,4.9 stars,4.9k reviews,Beginner," Entrepreneurship, Leadership and Management, Strategy and Operations ",1-3 months
Supervision du raisonnement clinique free,4.8 stars,74 reviews,Beginner," Business Psychology, Entrepreneurship, Human Resources ",1-3 months
Create Your First Web App with Python and Flask guided project ,4.5 stars,516 reviews,Intermediate," Computer Programming, Python Programming, Statistical Programming ",1 month
Simulation and modeling of natural processes free,4.2 stars,347 reviews,Mixed," Computer Programming, Python Programming, Statistical Programming ",1-3 months
Homeland Security and Cybersecurity specialization ,4.7 stars,578 reviews,Beginner," Security Engineering, Security Strategy, Finance ",3-6 months
"Internet History, Technology, and Security free",4.8 stars,2.6k reviews,Mixed," Computer Networking, Network Model, Cryptography ",1-3 months
Introduction to Human Behavioral Genetics free,4.8 stars,555 reviews,Mixed," Probability & Statistics, General Statistics, Computer Graphics ",1-3 months
Blockchain Scalability and its Foundations in Distributed Systems free,4.5 stars,80 reviews,Beginner," BlockChain, Finance, Theoretical Computer Science ",1-3 months
UX / UI: Fundamentos para o design de interface,4.5 stars,723 reviews,Beginner," Business Psychology, Human Computer Interaction, Research and Design ",1-3 months
Linux Fundamentals,4.5 stars,614 reviews,Beginner," Operating Systems, Linux, System Software ",1 month
Sensors and Sensor Circuit Design,4.6 stars,1.1k reviews,Advanced," Computer Architecture, Hardware Design ",1-3 months
Oceanography: a key to better understand our world free,4.5 stars,245 reviews,Mixed," Data Visualization, Geovisualization, Computer Vision ",1-3 months
Web Application Development: Basic Concepts,4.3 stars,181 reviews,Mixed," Computer Science, Web Development, Other Web Frameworks ",1-3 months
Software Processes and Agile Practices,4.7 stars,5.2k reviews,Mixed," Software Engineering, Agile Software Development, Design and Product ",1 month
Test-Driven Development specialization ,4.0 stars,66 reviews,Intermediate," Software Engineering, Software Testing, Computer Programming ",3-6 months
The Full Stack,4.6 stars,94 reviews,Intermediate," Data Management, Application Development, Back-End Web Development ",1-3 months
Artificial Intelligence on Microsoft Azure,4.6 stars,268 reviews,Beginner," Cloud Computing, Computer Vision, Machine Learning ",1 month
Technical Support Case Studies and Capstone,4.8 stars,88 reviews,Intermediate," Customer Success, Strategy and Operations, Cloud Computing ",1-3 months
Full Stack Cloud Development Capstone Project,4.4 stars,79 reviews,Intermediate," Web Development, Django (Web Framework), IBM Cloud ",1-3 months
Security Operations,4.4 stars,25 reviews,Beginner," Computer Security Incident Management, Leadership and Management, Security Engineering ",1-3 months
Introduction to SQL for BigQuery and Cloud SQL project ,4.6 stars,59 reviews,Beginner," Databases, Cloud Computing, Cloud Platforms ",1 month
Explore Core Data Concepts in Microsoft Azure,4.8 stars,303 reviews,Beginner," Business Analysis, Cloud Computing, Data Analysis ",1 month
Combining Scrum with Other Agile Methodologies,4.7 stars,355 reviews,Beginner," Software Engineering, Continuous Integration, DevOps ",1 month
Business Model Canvas: A Tool for Entrepreneurs and Innovators (Project-Centered Course),4.6 stars,602 reviews,Beginner," Customer Relationship Management, Entrepreneurship, Finance ",1-3 months
Apoio Técnico de TI da Google,4.9 stars,200 reviews,Beginner," Computer Networking, Security Engineering, Algorithms ",3-6 months
The Foundations of Cybersecurity,4.8 stars,563 reviews,Beginner," Security Engineering, Cyberattacks, Computer Networking ",1-3 months
Confronting The Big Questions: Highlights of Modern Astronomy free,4.6 stars,459 reviews,Beginner," Computational Thinking, Computer Programming, Data Visualization ",1 month
Planning & Design of Sanitation Systems and Technologies free,4.8 stars,1.1k reviews,Intermediate," Entrepreneurship, Leadership and Management, Operating Systems ",1-3 months
Microsoft Azure Services and Lifecycles,4.8 stars,252 reviews,Beginner," Cloud Computing, Microsoft Azure, Leadership and Management ",1 month
Concurrency in Go,4.7 stars,700 reviews,Intermediate," Other Programming Languages, Computational Thinking, Computer Programming ",1 month
"Intro to AR/VR/MR/XR: Technologies, Applications & Issues",4.7 stars,292 reviews,Beginner," Human Computer Interaction, Virtual Reality, Computer Graphics ",1 month
Foundations of AR new,4.7 stars,34 reviews,Mixed," Computer Vision, Machine Learning, Software Engineering ",1 month
Health Information Technology Fundamentals,4.8 stars,290 reviews,Mixed," Business Psychology, Computer Programming, Customer Relationship Management ",1 month
Data Processing Using Python free,4.1 stars,329 reviews,Beginner," Computer Programming, Python Programming, Computer Science ",1-3 months
3. 探索用データを準備する,4.6 stars,29 reviews,Beginner," Data Analysis, Computer Networking, Network Security ",1-3 months
SAP Customer Engagement and Discovery,4.8 stars,21 reviews,Beginner," Business Analysis, Cloud Computing, Software As A Service ",1-3 months
Application Security and Monitoring,4.9 stars,68 reviews,Intermediate," Security Engineering, Application Development, Software Engineering ",1-3 months
Browser-based Models with TensorFlow.js,4.8 stars,940 reviews,Intermediate," Tensorflow, Machine Learning, Data Science ",1 month
Building Test Automation Framework using Selenium and TestNG guided project ,4.6 stars,122 reviews,Advanced," Software Engineering, Software Testing ",1 month
Richard Schechner's Introduction to Performance Studies free,4.7 stars,56 reviews,Beginner," Critical Thinking, Research and Design, Strategy and Operations ",3-6 months
A Crash Course in Data Science,4.5 stars,8.1k reviews,Beginner," Data Science, Exploratory Data Analysis, Basic Descriptive Statistics ",1 month
Introduction to Google Workspace Administration,4.7 stars,2.2k reviews,Beginner," Computer Science, Information Technology, Security Engineering ",1 month
Introduction to Mobile Development,4.7 stars,291 reviews,Beginner," Web Development, Front-End Web Development, HTML and CSS ",1 month
Front-End Developer specialization ,4.2 stars,17 reviews,Beginner," Computer Architecture, Distributed Computing Architecture, Full-Stack Web Development ",1-3 months
Orientação a Objetos com Java,4.8 stars,1.1k reviews,Intermediate," Computer Programming, Java Programming, Mobile Development ",1-3 months
CertNexus Certified Data Science Practitioner,4.6 stars,42 reviews,Intermediate," Data Management, Data Analysis, Extract, Transform, Load ",3-6 months
RPA Basics and Introduction to UiPath,4.7 stars,222 reviews,Beginner," Computer Programming, Computer Programming Tools, Software Engineering ",1 month
Software Development Processes and Methodologies,4.7 stars,1.9k reviews,Beginner," Computer Science, Software Engineering, Software Architecture ",1 month
Mastering Software Development in R specialization ,4.3 stars,1.5k reviews,Beginner," Statistical Programming, R Programming, Data Analysis ",3-6 months
Developing Cloud Native Applications,4.1 stars,249 reviews,Intermediate," Cloud Computing, IBM Cloud, Cloud Foundry ",1-3 months
Introduction to CSS3,4.8 stars,9.2k reviews,Mixed," HTML and CSS, Web Development, Web Design ",1-3 months
Building Batch Data Pipelines on Google Cloud,4.5 stars,1.6k reviews,Intermediate," Cloud Computing, Google Cloud Platform, Cloud Platforms ",1-3 months
Command Line Tools for Genomic Data Science,4.0 stars,531 reviews,Mixed," Bioinformatics, Probability & Statistics, Computer Programming ",1 month
Salesforce Basics,4.3 stars,183 reviews,Beginner," Cloud Computing, Computer Networking, Data Management ",1 month
Microsoft Azure Machine Learning,4.5 stars,136 reviews,Beginner," Cloud Computing, Machine Learning, Machine Learning Algorithms ",1 month
Web Design: Wireframes to Prototypes,4.8 stars,778 reviews,Intermediate," Computer Architecture, Computer Networking, Computer Programming ",1-3 months
Practical Time Series Analysis free,4.6 stars,1.6k reviews,Intermediate," General Statistics, Probability & Statistics, Forecasting ",1-3 months
Autodesk Certified Professional: Inventor for Mechanical Design Exam Prep,4.7 stars,142 reviews,Advanced," Design and Product, Computer Programming, Computer Programming Tools ",1 month
Testing for Web Accessibility With Accessibility Insights guided project ,4.7 stars,115 reviews,Intermediate," Software Engineering, Software Testing ",1 month
Client Needs and Software Requirements,4.8 stars,3k reviews,Mixed," Computer Science, Design and Product, Product Design ",1 month
"Java Programming: Arrays, Lists, and Structured Data",4.7 stars,3.1k reviews,Beginner," Computer Programming, Java Programming, Cryptography ",1-3 months
Cryptography,4.7 stars,219 reviews,Beginner," Cryptography, Security Engineering, Theoretical Computer Science ",1-3 months
Optical Efficiency and Resolution,4.1 stars,55 reviews,Advanced," Algorithms, Theoretical Computer Science, Mathematics ",1-3 months
Introduction to HTML guided project ,4.6 stars,2k reviews,Beginner," Front-End Web Development, Full-Stack Web Development, HTML and CSS ",1 month
Preparing for the AZ-900 Microsoft Azure Fundamentals Exam,4.7 stars,323 reviews,Beginner," Cloud Computing, Microsoft Azure, Cloud Infrastructure ",1-3 months
Cloud Computing Law: Transactions,4.9 stars,33 reviews,Beginner," Cloud Computing, Cloud Storage, Accounting ",1 month
Fundamentals of Java Programming new,4.5 stars,10 reviews,Beginner," Algorithms, Computer Programming, Java Programming ",1 month
iOS App Development with Swift specialization ,3.9 stars,1.6k reviews,Intermediate," Mobile Development, iOS Development, Operating Systems ",3-6 months
Network Dynamics of Social Behavior free,4.6 stars,370 reviews,Beginner," Mathematics, Network Analysis, Entrepreneurship ",1-3 months
Introducción al HTML5,4.4 stars,17 reviews,Mixed," HTML and CSS, Web Development ",1 month
Kinematics: Describing the Motions of Spacecraft,4.9 stars,305 reviews,Advanced," Algebra, Mathematics, Linear Algebra ",1 month
Programming in Java: A Hands-on Introduction specialization ,4.4 stars,81 reviews,Beginner," Computer Programming, Mobile Development, Web Development ",3-6 months
Cybersecurity: Developing a Program for Your Business specialization ,4.6 stars,2.7k reviews,Beginner," Human Computer Interaction, Security Engineering, Security Strategy ",3-6 months
Introduction to Applied Cryptography specialization ,4.6 stars,922 reviews,Beginner," Cryptography, Security Engineering, Theoretical Computer Science ",3-6 months
Applied Cryptography specialization ,4.5 stars,721 reviews,Intermediate," Cryptography, Security Engineering, Theoretical Computer Science ",3-6 months
Applied Digital Literacy specialization ,4.8 stars,80 reviews,Beginner," Research and Design, Visual Design, Data Visualization ",3-6 months
Building Cloud Services with the Java Spring Framework,4.3 stars,242 reviews,Intermediate," Cloud Computing, Computer Programming, Other Programming Languages ",1 month
IBM Data Privacy for Information Architecture,4.6 stars,43 reviews,Mixed," Database Administration, Databases, Security Engineering ",1-3 months
Introduction to Concurrent Programming with GPUs,2.4 stars,39 reviews,Beginner," Computer Programming, Computer Graphic Techniques, Computer Graphics ",1-3 months
Wireless Communications for Everybody free,4.7 stars,2.4k reviews,Beginner," Communication, Computer Networking, Network Architecture ",1-3 months
Aruba Networking Basics,4.7 stars,249 reviews,Beginner," Computer Networking, Network Model, Networking Hardware ",1 month
Global Challenges in Business specialization ,4.7 stars,913 reviews,Beginner," Leadership and Management, Entrepreneurship, Marketing ",3-6 months
Create Your First Automation Script Using Selenium and Java guided project ,4.6 stars,287 reviews,Beginner," Software Engineering, Software Testing ",1 month
Introduction to DevSecOps,4.8 stars,6 reviews,Intermediate," DevOps, Software Engineering ",1 month
Quantitative Model Checking free,4.2 stars,52 reviews,Intermediate," Mathematics, Computational Logic, Mathematical Theory & Analysis ",1-3 months
Contratación y mercado digital. Aspectos legales y otras cuestiones de interés free,4.5 stars,208 reviews,Beginner," BlockChain, E-Commerce, FinTech ",1-3 months
Establishing Product-Market Fit,4.5 stars,39 reviews,Beginner," Design and Product, Entrepreneurship, Human Computer Interaction ",1-3 months
Building Web Applications in Django,4.7 stars,722 reviews,Intermediate," Other Web Frameworks, Web Development, Application Development ",1 month
Typescript in React: Get started guided project ,4.5 stars,11 reviews,Intermediate," Computer Programming, Computer Programming Tools, Front-End Web Development ",1 month
Decentralized Finance (DeFi) Primitives,4.9 stars,362 reviews,Intermediate," BlockChain, FinTech, Finance ",1 month
Launching into Machine Learning,4.6 stars,4.2k reviews,Beginner," Machine Learning, Data Analysis, Probability & Statistics ",1-3 months
NIST CSF,4.1 stars,55 reviews,Mixed," Computer Security Incident Management, Security Engineering, System Security ",1-3 months
Developing Cloud Apps with Node.js and React,4.0 stars,221 reviews,Intermediate," Javascript, Computer Programming, Web Development ",1-3 months
Seguridad informática: defensa contra las artes oscuras digitales,4.9 stars,2.6k reviews,Beginner," Security Engineering, Security Software, Network Security ",1-3 months
"Alfabetização Midiática, Informacional e Diálogo Intercultural - UNESCO e UNICAMP free",5.0 stars,65 reviews,Beginner," Communication, Computer Networking, Network Security ",1-3 months
Introdução à Ciência da Computação com Python Parte 2 free,4.9 stars,1.4k reviews,Beginner," Computer Programming, Python Programming, Statistical Programming ",1-3 months
Introduction to UI Design,4.6 stars,1.4k reviews,Beginner," Computer Science, Human Computer Interaction, Research and Design ",1 month
Exploring ​and ​Preparing ​your ​Data with BigQuery,4.7 stars,3.5k reviews,Beginner," Cloud Computing, Google Cloud Platform, Information Technology ",1-3 months
Julia Scientific Programming,4.4 stars,419 reviews,Beginner," Computer Programming, Computational Thinking, Data Analysis ",1 month
JavaScript Security specialization ,4.5 stars,57 reviews,Intermediate," Computer Programming, Javascript, Security Engineering ",1-3 months
Introduction to Machine Learning: Supervised Learning,3.2 stars,29 reviews,Intermediate," Machine Learning, Statistical Machine Learning, Machine Learning Algorithms ",1-3 months
Software Architecture,4.5 stars,823 reviews,Intermediate," Software Architecture, Software Engineering, Computer Science ",1 month
Battery State-of-Charge (SOC) Estimation,4.8 stars,236 reviews,Intermediate," Probability & Statistics, Estimation, General Statistics ",1-3 months
Parallel Programming in Java,4.6 stars,1.2k reviews,Intermediate," Computer Science, Computer Programming, Java Programming ",1-3 months
Back-End Developer Capstone,4.5 stars,50 reviews,Intermediate," Python Programming, Application Development, Back-End Web Development ",1 month
DevOps Capstone Project,4.9 stars,49 reviews,Intermediate," DevOps, Cloud Computing, Computer Programming ",1-3 months
"Coding for Designers, Managers, & Entrepreneurs I",4.1 stars,47 reviews,Beginner," HTML and CSS, Web Development, Front-End Web Development ",1-3 months
OWASP Top 10 - 2021 specialization ,4.7 stars,42 reviews,Intermediate," Security Engineering, Computer Networking, Network Security ",3-6 months
"Introduction to the Nonprofit Sector, Nonprofit Organizations, Nonprofit Leadership and Governance",4.4 stars,183 reviews,Mixed," Business Psychology, Conflict Management, Entrepreneurship ",1-3 months
Introduction to Python for Cybersecurity,4.5 stars,259 reviews,Intermediate," Computer Programming, Cryptography, Cyberattacks ",1 month
Building a Dynamic Web App using PHP & MySQL guided project ,4.4 stars,190 reviews,Beginner," Back-End Web Development, Computer Programming, Data Management ",1 month
API Testing a real web application via Postman guided project ,4.5 stars,33 reviews,Beginner," Computer Programming, Software Engineering, Software Testing ",1 month
Hands-on Internet of Things specialization ,4.7 stars,164 reviews,Intermediate," Computer Networking, Computer Architecture, Internet Of Things ",3-6 months
Industrial IoT Markets and Security,4.7 stars,449 reviews,Intermediate," Computer Architecture, Computer Networking, Internet Of Things ",1-3 months
Embedded Interface Design specialization ,4.5 stars,116 reviews,Intermediate," Design and Product, User Experience, Human Computer Interaction ",3-6 months
Learn JavaScript new,4.8 stars,18 reviews,Beginner," Computer Programming, Javascript, Web Development ",1 month
Architecting with Google Compute Engine en Français specialization ,4.6 stars,83 reviews,Intermediate," Statistical Programming, Cloud Computing, Google Cloud Platform ",3-6 months
Programming in C#: A comprehensive approach to C# Fundamentals guided project ,4.5 stars,204 reviews,Beginner," Computer Programming, Other Programming Languages, Software Engineering ",1 month
Die Bits und ,4.6 stars,45 reviews,Beginner," Computer Networking, Computer Architecture, Network Architecture ",1-3 months
"Creative Design, Prototyping, and Testing",4.1 stars,50 reviews,Beginner," Design and Product, Entrepreneurship, Leadership and Management ",1-3 months
Exploring Quantum Physics free,4.0 stars,56 reviews,Mixed," Mathematics, Calculus, Differential Equations ",1-3 months
Introducción al mantenimiento de activos físicos free,5.0 stars,43 reviews,Beginner," Entrepreneurship, Accounting, Business Psychology ",1 month
