Course Title,Rating,Reviews,Organization,Level,Skill Outcome,Exact Learning Period,link,,,,,,,,,,
Autodesk Certified Professional: Inventor for Mechanical Design Exam Prep,4.7 stars,142 reviews,Autodesk Certified Professional: Inventor for Mechanical Design Exam Prep course by Autodesk,Advanced," Design and Product, Computer Programming, Computer Programming Tools ",1 month,/learn/autodesk-inventor-mechanical-design,,,,,,,,,,0
Testing for Web Accessibility With Accessibility Insights guided project ,4.7 stars,115 reviews,Testing for Web Accessibility With Accessibility Insights guided project by Coursera Project Network,Intermediate," Software Engineering, Software Testing ",1 month,/projects/testing-for-web-accessibility-with-accessibility-insights,,,,,,,,,,0
Client Needs and Software Requirements,4.8 stars,3k reviews,Client Needs and Software Requirements course by University of Alberta,Mixed," Computer Science, Design and Product, Product Design ",1 month,/learn/client-needs-and-software-requirements,,,,,,,,,,0
"Java Programming: Arrays, Lists, and Structured Data",4.7 stars,3.1k reviews,Java Programming: Arrays,Beginner," Computer Programming, Java Programming, Cryptography ",1-3 months,/learn/java-programming-arrays-lists-data,,,,,,,,,,0
Cryptography,4.7 stars,219 reviews,Cryptography course by ISC2,Beginner," Cryptography, Security Engineering, Theoretical Computer Science ",1-3 months,/learn/cryptography-sscp,,,,,,,,,,0
Optical Efficiency and Resolution,4.1 stars,55 reviews,Optical Efficiency and Resolution course by University of Colorado Boulder,Advanced," Algorithms, Theoretical Computer Science, Mathematics ",1-3 months,/learn/optical-efficiency-and-resolution,,,,,,,,,,0
Introduction to HTML guided project ,4.6 stars,2k reviews,Introduction to HTML guided project by Coursera Project Network,Beginner," Front-End Web Development, Full-Stack Web Development, HTML and CSS ",1 month,/projects/introduction-to-html,,,,,,,,,,0
Preparing for the AZ-900 Microsoft Azure Fundamentals Exam,4.7 stars,323 reviews,Preparing for the AZ-900 Microsoft Azure Fundamentals Exam course by Microsoft,Beginner," Cloud Computing, Microsoft Azure, Cloud Infrastructure ",1-3 months,/learn/az-900-exam-prep,,,,,,,,,,0
Cloud Computing Law: Transactions,4.9 stars,33 reviews,Cloud Computing Law: Transactions course by Queen Mary University of London,Beginner," Cloud Computing, Cloud Storage, Accounting ",1 month,/learn/cloud-computing-law-transactions,,,,,,,,,,0
Fundamentals of Java Programming new,4.5 stars,10 reviews,Fundamentals of Java Programming new course by Board Infinity,Beginner," Algorithms, Computer Programming, Java Programming ",1 month,/learn/fundamentals-of-java-programming,,,,,,,,,,0
iOS App Development with Swift specialization ,3.9 stars,1.6k reviews,iOS App Development with Swift specialization by University of Toronto,Intermediate," Mobile Development, iOS Development, Operating Systems ",3-6 months,/specializations/app-development,,,,,,,,,,0
Network Dynamics of Social Behavior free,4.6 stars,370 reviews,Network Dynamics of Social Behavior free course by University of Pennsylvania,Beginner," Mathematics, Network Analysis, Entrepreneurship ",1-3 months,/learn/networkdynamics,,,,,,,,,,0
Introducción al HTML5,4.4 stars,17 reviews,Introducción al HTML5 course by University of Michigan,Mixed," HTML and CSS, Web Development ",1 month,/learn/html-es,,,,,,,,,,0
Kinematics: Describing the Motions of Spacecraft,4.9 stars,305 reviews,Kinematics: Describing the Motions of Spacecraft course by University of Colorado Boulder,Advanced," Algebra, Mathematics, Linear Algebra ",1 month,/learn/spacecraft-dynamics-kinematics,,,,,,,,,,0
Programming in Java: A Hands-on Introduction specialization ,4.4 stars,81 reviews,Programming in Java: A Hands-on Introduction specialization by Codio,Beginner," Computer Programming, Mobile Development, Web Development ",3-6 months,/specializations/hands-on-java,,,,,,,,,,0
Cybersecurity: Developing a Program for Your Business specialization ,4.6 stars,2.7k reviews,Cybersecurity: Developing a Program for Your Business specialization by University System of Georgia,Beginner," Human Computer Interaction, Security Engineering, Security Strategy ",3-6 months,/specializations/cybersecurity-developing-program-for-business,,,,,,,,,,0
Introduction to Applied Cryptography specialization ,4.6 stars,922 reviews,Introduction to Applied Cryptography specialization by University of Colorado System,Beginner," Cryptography, Security Engineering, Theoretical Computer Science ",3-6 months,/specializations/introduction-applied-cryptography,,,,,,,,,,0
Applied Cryptography specialization ,4.5 stars,721 reviews,Applied Cryptography specialization by University of Colorado System,Intermediate," Cryptography, Security Engineering, Theoretical Computer Science ",3-6 months,/specializations/applied-crypto,,,,,,,,,,0
Applied Digital Literacy specialization ,4.8 stars,80 reviews,Applied Digital Literacy specialization by The State University of New York,Beginner," Research and Design, Visual Design, Data Visualization ",3-6 months,/specializations/applied-digital-literacy,,,,,,,,,,0
Building Cloud Services with the Java Spring Framework,4.3 stars,242 reviews,Building Cloud Services with the Java Spring Framework course by Vanderbilt University,Intermediate," Cloud Computing, Computer Programming, Other Programming Languages ",1 month,/learn/cloud-services-java-spring-framework,,,,,,,,,,0
IBM Data Privacy for Information Architecture,4.6 stars,43 reviews,IBM Data Privacy for Information Architecture course by IBM,Mixed," Database Administration, Databases, Security Engineering ",1-3 months,/learn/ibm-data-privacy,,,,,,,,,,0
Introduction to Concurrent Programming with GPUs,2.4 stars,39 reviews,Introduction to Concurrent Programming with GPUs course by Johns Hopkins University,Beginner," Computer Programming, Computer Graphic Techniques, Computer Graphics ",1-3 months,/learn/introduction-to-concurrent-programming,,,,,,,,,,0
Wireless Communications for Everybody free,4.7 stars,2.4k reviews,Wireless Communications for Everybody free course by Yonsei University,Beginner," Communication, Computer Networking, Network Architecture ",1-3 months,/learn/wireless-communications,,,,,,,,,,0
Aruba Networking Basics,4.7 stars,249 reviews,Aruba Networking Basics course by HPE Aruba Networking,Beginner," Computer Networking, Network Model, Networking Hardware ",1 month,/learn/aruba-networking-basics,,,,,,,,,,0
Global Challenges in Business specialization ,4.7 stars,913 reviews,Global Challenges in Business specialization by University of Illinois at Urbana-Champaign,Beginner," Leadership and Management, Entrepreneurship, Marketing ",3-6 months,/specializations/global-challenges-business,,,,,,,,,,0
Create Your First Automation Script Using Selenium and Java guided project ,4.6 stars,287 reviews,Create Your First Automation Script Using Selenium and Java guided project by Coursera Project Network,Beginner," Software Engineering, Software Testing ",1 month,/projects/create-automation-script-using-selenium-java,,,,,,,,,,0
Introduction to DevSecOps,4.8 stars,6 reviews,Introduction to DevSecOps course by Johns Hopkins University,Intermediate," DevOps, Software Engineering ",1 month,/learn/introduction-to-devsecops,,,,,,,,,,0
Quantitative Model Checking free,4.2 stars,52 reviews,Quantitative Model Checking free course by EIT Digital,Intermediate," Mathematics, Computational Logic, Mathematical Theory & Analysis ",1-3 months,/learn/quantitative-model-checking,,,,,,,,,,0
Contratación y mercado digital. Aspectos legales y otras cuestiones de interés free,4.5 stars,208 reviews,Contratación y mercado digital. Aspectos legales y otras cuestiones de interés free course by Universitat Autònoma de Barcelona,Beginner," BlockChain, E-Commerce, FinTech ",1-3 months,/learn/mercado-digital,,,,,,,,,,0
Establishing Product-Market Fit,4.5 stars,39 reviews,Establishing Product-Market Fit course by University of Maryland,Beginner," Design and Product, Entrepreneurship, Human Computer Interaction ",1-3 months,/learn/establishing-product-market-fit,,,,,,,,,,0
Building Web Applications in Django,4.7 stars,722 reviews,Building Web Applications in Django course by University of Michigan,Intermediate," Other Web Frameworks, Web Development, Application Development ",1 month,/learn/django-build-web-apps,,,,,,,,,,0
Typescript in React: Get started guided project ,4.5 stars,11 reviews,Typescript in React: Get started guided project by Coursera Project Network,Intermediate," Computer Programming, Computer Programming Tools, Front-End Web Development ",1 month,/projects/rudi-hinds-typescript-react-get-started,,,,,,,,,,0
Decentralized Finance (DeFi) Primitives,4.9 stars,362 reviews,Decentralized Finance (DeFi) Primitives course by Duke University,Intermediate," BlockChain, FinTech, Finance ",1 month,/learn/decentralized-finance-primitives-duke,,,,,,,,,,0
Launching into Machine Learning,4.6 stars,4.2k reviews,Launching into Machine Learning course by Google Cloud,Beginner," Machine Learning, Data Analysis, Probability & Statistics ",1-3 months,/learn/launching-machine-learning,,,,,,,,,,0
NIST CSF,4.1 stars,55 reviews,NIST CSF course by Infosec,Mixed," Computer Security Incident Management, Security Engineering, System Security ",1-3 months,/learn/nist-csf,,,,,,,,,,0
Developing Cloud Apps with Node.js and React,4.0 stars,221 reviews,Developing Cloud Apps with Node.js and React course by IBM,Intermediate," Javascript, Computer Programming, Web Development ",1-3 months,/learn/node-js,,,,,,,,,,0
Seguridad informática: defensa contra las artes oscuras digitales,4.9 stars,2.6k reviews,Seguridad informática: defensa contra las artes oscuras digitales course by Google,Beginner," Security Engineering, Security Software, Network Security ",1-3 months,/learn/seguridad-informatica,,,,,,,,,,0
"Alfabetização Midiática, Informacional e Diálogo Intercultural - UNESCO e UNICAMP free",5.0 stars,65 reviews,Alfabetização Midiática,Beginner," Communication, Computer Networking, Network Security ",1-3 months,/learn/alfabetizacao-midiatica,,,,,,,,,,0
Introdução à Ciência da Computação com Python Parte 2 free,4.9 stars,1.4k reviews,Introdução à Ciência da Computação com Python Parte 2 free course by Universidade de São Paulo,Beginner," Computer Programming, Python Programming, Statistical Programming ",1-3 months,/learn/ciencia-computacao-python-conceitos-2,,,,,,,,,,0
Introduction to UI Design,4.6 stars,1.4k reviews,Introduction to UI Design course by University of Minnesota,Beginner," Computer Science, Human Computer Interaction, Research and Design ",1 month,/learn/ui-design,,,,,,,,,,0
Exploring ​and ​Preparing ​your ​Data with BigQuery,4.7 stars,3.5k reviews,Exploring ​and ​Preparing ​your ​Data with BigQuery course by Google Cloud,Beginner," Cloud Computing, Google Cloud Platform, Information Technology ",1-3 months,/learn/gcp-exploring-preparing-data-bigquery,,,,,,,,,,0
Julia Scientific Programming,4.4 stars,419 reviews,Julia Scientific Programming course by University of Cape Town,Beginner," Computer Programming, Computational Thinking, Data Analysis ",1 month,/learn/julia-programming,,,,,,,,,,0
JavaScript Security specialization ,4.5 stars,57 reviews,JavaScript Security specialization by Infosec,Intermediate," Computer Programming, Javascript, Security Engineering ",1-3 months,/specializations/javascript-security,,,,,,,,,,0
Introduction to Machine Learning: Supervised Learning,3.2 stars,29 reviews,Introduction to Machine Learning: Supervised Learning course by University of Colorado Boulder,Intermediate," Machine Learning, Statistical Machine Learning, Machine Learning Algorithms ",1-3 months,/learn/introduction-to-machine-learning-supervised-learning,,,,,,,,,,0
Software Architecture,4.5 stars,823 reviews,Software Architecture course by University of Alberta,Intermediate," Software Architecture, Software Engineering, Computer Science ",1 month,/learn/software-architecture,,,,,,,,,,0
Battery State-of-Charge (SOC) Estimation,4.8 stars,236 reviews,Battery State-of-Charge (SOC) Estimation course by University of Colorado Boulder,Intermediate," Probability & Statistics, Estimation, General Statistics ",1-3 months,/learn/battery-state-of-charge,,,,,,,,,,0
Parallel Programming in Java,4.6 stars,1.2k reviews,Parallel Programming in Java course by Rice University,Intermediate," Computer Science, Computer Programming, Java Programming ",1-3 months,/learn/parallel-programming-in-java,,,,,,,,,,0
Back-End Developer Capstone,4.5 stars,50 reviews,Back-End Developer Capstone course by Meta,Intermediate," Python Programming, Application Development, Back-End Web Development ",1 month,/learn/back-end-developer-capstone,,,,,,,,,,0
DevOps Capstone Project,4.9 stars,49 reviews,DevOps Capstone Project course by IBM,Intermediate," DevOps, Cloud Computing, Computer Programming ",1-3 months,/learn/devops-capstone-project,,,,,,,,,,0
"Coding for Designers, Managers, & Entrepreneurs I",4.1 stars,47 reviews,Coding for Designers,Beginner," HTML and CSS, Web Development, Front-End Web Development ",1-3 months,/learn/uva-coding-for-design-managers-1,,,,,,,,,,0
OWASP Top 10 - 2021 specialization ,4.7 stars,42 reviews,OWASP Top 10 - 2021 specialization by Infosec,Intermediate," Security Engineering, Computer Networking, Network Security ",3-6 months,/specializations/owasp-top-10-2021,,,,,,,,,,0
"Introduction to the Nonprofit Sector, Nonprofit Organizations, Nonprofit Leadership and Governance",4.4 stars,183 reviews,Introduction to the Nonprofit Sector,Mixed," Business Psychology, Conflict Management, Entrepreneurship ",1-3 months,/learn/nonprofit-organizations,,,,,,,,,,0
Introduction to Python for Cybersecurity,4.5 stars,259 reviews,Introduction to Python for Cybersecurity course by Infosec,Intermediate," Computer Programming, Cryptography, Cyberattacks ",1 month,/learn/pythonforcybersecurity-introduction,,,,,,,,,,0
Building a Dynamic Web App using PHP & MySQL guided project ,4.4 stars,190 reviews,Building a Dynamic Web App using PHP & MySQL guided project by Coursera Project Network,Beginner," Back-End Web Development, Computer Programming, Data Management ",1 month,/projects/dynamic-web-app-php-mysql,,,,,,,,,,0
API Testing a real web application via Postman guided project ,4.5 stars,33 reviews,API Testing a real web application via Postman guided project by Coursera Project Network,Beginner," Computer Programming, Software Engineering, Software Testing ",1 month,/projects/api-testing-a-real-application-via-postman,,,,,,,,,,0
Hands-on Internet of Things specialization ,4.7 stars,164 reviews,Hands-on Internet of Things specialization by University of Illinois at Urbana-Champaign,Intermediate," Computer Networking, Computer Architecture, Internet Of Things ",3-6 months,/specializations/uiuc-iot,,,,,,,,,,0
Industrial IoT Markets and Security,4.7 stars,449 reviews,Industrial IoT Markets and Security course by University of Colorado Boulder,Intermediate," Computer Architecture, Computer Networking, Internet Of Things ",1-3 months,/learn/industrial-iot-markets-security,,,,,,,,,,0
Embedded Interface Design specialization ,4.5 stars,116 reviews,Embedded Interface Design specialization by University of Colorado Boulder,Intermediate," Design and Product, User Experience, Human Computer Interaction ",3-6 months,/specializations/embedded-interface-design,,,,,,,,,,0
Learn JavaScript new,4.8 stars,18 reviews,Learn JavaScript new course by Scrimba,Beginner," Computer Programming, Javascript, Web Development ",1 month,/learn/learn-javascript,,,,,,,,,,0
Architecting with Google Compute Engine en Français specialization ,4.6 stars,83 reviews,Architecting with Google Compute Engine en Français specialization by Google Cloud,Intermediate," Statistical Programming, Cloud Computing, Google Cloud Platform ",3-6 months,/specializations/gcp-architecture-fr,,,,,,,,,,0
Programming in C#: A comprehensive approach to C# Fundamentals guided project ,4.5 stars,204 reviews,Programming in C#: A comprehensive approach to C# Fundamentals guided project by Coursera Project Network,Beginner," Computer Programming, Other Programming Languages, Software Engineering ",1 month,/projects/programming-in-c,,,,,,,,,,0
Die Bits und ,4.6 stars,45 reviews,Die Bits und Bytes von Computernetzwerken course by Google,Beginner," Computer Networking, Computer Architecture, Network Architecture ",1-3 months,/learn/computer-networking-de,,,,,,,,,,0
"Creative Design, Prototyping, and Testing",4.1 stars,50 reviews,Creative Design,Beginner," Design and Product, Entrepreneurship, Leadership and Management ",1-3 months,/learn/creative-design-prototyping-testing,,,,,,,,,,0
Exploring Quantum Physics free,4.0 stars,56 reviews,Exploring Quantum Physics free course by University of Maryland,Mixed," Mathematics, Calculus, Differential Equations ",1-3 months,/learn/quantum-physics,,,,,,,,,,0
Introducción al mantenimiento de activos físicos free,5.0 stars,43 reviews,Introducción al mantenimiento de activos físicos free course by Universidad de los Andes,Beginner," Entrepreneurship, Accounting, Business Psychology ",1 month,/learn/introduccion-al-mantenimiento-de-activos-fisicos,,,,,,,,,,0
Técnicas Microscópicas de Caracterización free,4.7 stars,735 reviews,Técnicas Microscópicas de Caracterización free course by Universitat de Barcelona,Mixed," Data Visualization, Scientific Visualization, Computer Graphic Techniques ",1-3 months,/learn/tecnicas-microscopicas-caracterizacion,,,,,,,,,,0
IT-підтримка від Google,4.9 stars,624 reviews,IT-підтримка від Google professional certificate by Google,Beginner," Computer Networking, Computer Architecture, Network Architecture ",3-6 months,/professional-certificates/google-it-support-ua,,,,,,,,,,0
"Creatividad, diseño e innovación: Técnicas y herramientas specialization ",4.7 stars,4k reviews,Creatividad,Beginner," Research and Design, Entrepreneurship, Innovation ",3-6 months,/specializations/creatividad-diseno-innovacion,,,,,,,,,,0
Web of Data,4.1 stars,83 reviews,Web of Data course by EIT Digital,Intermediate," Cloud Computing, Semantic Web, Data Management ",1 month,/learn/web-data,,,,,,,,,,0
Desarrollo de aplicaciones móviles con Android specialization ,4.6 stars,1.9k reviews,Desarrollo de aplicaciones móviles con Android specialization by Universidad Nacional Autónoma de México,Intermediate," Android Development, Mobile Development, Application Development ",3-6 months,/specializations/programacion-android,,,,,,,,,,0
"Iniciar o processo de design de UX: criar empatia, definir e idealizar",4.9 stars,279 reviews,Iniciar o processo de design de UX: criar empatia,Beginner," Business Psychology, Human Computer Interaction, Research and Design ",1-3 months,/learn/iniciar-o-processo-de-design-de-ux,,,,,,,,,,0
Foundations of Teaching for Learning: Introduction to Student Assessment free,4.8 stars,910 reviews,Foundations of Teaching for Learning: Introduction to Student Assessment free course by Commonwealth Education Trust,Mixed," Entrepreneurship, Research and Design, Software Engineering ",1-3 months,/learn/learning-assessment,,,,,,,,,,0
Machine Learning Foundations: A Case Study Approach,4.6 stars,13.3k reviews,Machine Learning Foundations: A Case Study Approach course by University of Washington,Mixed," Linear Algebra, Data Mining, Machine Learning ",1-3 months,/learn/ml-foundations,,,,,,,,,,0
Building No-Code Apps with AppSheet: Foundations,4.7 stars,111 reviews,Building No-Code Apps with AppSheet: Foundations course by Google Cloud,Beginner," Application Development, Software Engineering, Business Psychology ",1-3 months,/learn/building-no-code-apps-with-appsheet-foundations,,,,,,,,,,0
"Spring MVC, Spring Boot  and Rest Controllers",4.2 stars,138 reviews,Spring MVC,Intermediate," Computer Programming, Other Web Frameworks, Programming Principles ",1 month,/learn/spring-mvc-rest-controller,,,,,,,,,,0
Fintech Startups in Emerging Markets specialization ,4.6 stars,196 reviews,Fintech Startups in Emerging Markets specialization by University of Cape Town,Beginner," Finance, Regulations and Compliance, FinTech ",3-6 months,/specializations/fintech-startups-emerging-markets,,,,,,,,,,0
Preparing for Your Professional Cloud Security Engineer Journey,4.7 stars,68 reviews,Preparing for Your Professional Cloud Security Engineer Journey course by Google Cloud,Beginner," Security Engineering, Cloud Computing, Computer Networking ",1-3 months,/learn/preparing-for-your-professional-cloud-security-engineer-journey,,,,,,,,,,0
Programming Fundamentals in Swift,4.7 stars,146 reviews,Programming Fundamentals in Swift course by Meta,Beginner," Mobile Development, Swift Programming, Data Structures ",1-3 months,/learn/programming-fundamentals-swift,,,,,,,,,,0
Bases de la gestion de projet,4.6 stars,11 reviews,Bases de la gestion de projet course by Google,Beginner," Strategy and Operations, Leadership and Management, Project Management ",1 month,/learn/bases-de-la-gestion-de-projet-google,,,,,,,,,,0
Pixel Art for Video Games,4.5 stars,214 reviews,Pixel Art for Video Games course by Michigan State University,Beginner," Computer Graphics, Graphic Design, Human Computer Interaction ",1-3 months,/learn/pixel-art-video-games,,,,,,,,,,0
Principles of Secure Coding,4.4 stars,328 reviews,Principles of Secure Coding course by University of California,Intermediate," Computer Programming, Security Engineering, Software Security ",1 month,/learn/secure-coding-principles,,,,,,,,,,0
Cybersecurity in the Cloud specialization ,4.3 stars,116 reviews,Cybersecurity in the Cloud specialization by University of Minnesota,Beginner," Security Engineering, Operating Systems, System Security ",3-6 months,/specializations/cybersecurity-cloud,,,,,,,,,,0
Data Pipelines with TensorFlow Data Services,4.4 stars,480 reviews,Data Pipelines with TensorFlow Data Services course by DeepLearning.AI,Intermediate," Data Management, Extract, Transform, Load, Machine Learning ",1 month,/learn/data-pipelines-tensorflow,,,,,,,,,,0
Digital Signal Processing 2: Filtering,4.7 stars,163 reviews,Digital Signal Processing 2: Filtering course by École Polytechnique Fédérale de Lausanne,Intermediate," Algorithms, Mathematics, Theoretical Computer Science ",1 month,/learn/dsp2,,,,,,,,,,0
Usable Security,4.6 stars,3.3k reviews,Usable Security course by University of Maryland,Mixed," Design and Product, Human Computer Interaction, Product Design ",1-3 months,/learn/usable-security,,,,,,,,,,0
Digital Forensics Concepts,4.8 stars,143 reviews,Digital Forensics Concepts course by Infosec,Intermediate," Computer Networking, Cyberattacks, Security Engineering ",1-3 months,/learn/digital-forensics-concepts,,,,,,,,,,0
Natural Language Processing in Microsoft Azure,4.7 stars,65 reviews,Natural Language Processing in Microsoft Azure course by Microsoft,Beginner," Machine Learning, Natural Language Processing, Computer Graphics ",1 month,/learn/nlp-microsoft-azure,,,,,,,,,,0
"Blockchain, Cryptoassets, and Decentralized Finance",4.7 stars,345 reviews,Blockchain,Beginner," BlockChain, Finance, FinTech ",1 month,/learn/blockchain-crypto-decentralized-finance,,,,,,,,,,0
Introduction to APIs in Google project ,3.2 stars,11 reviews,Introduction to APIs in Google project by Google Cloud,Beginner," Cloud Computing, Cloud Storage, Computer Programming ",1 month,/projects/googlecloud-introduction-to-apis-in-google-ouacp,,,,,,,,,,0
Command Line Basics in Linux guided project ,4.6 stars,268 reviews,Command Line Basics in Linux guided project by Coursera Project Network,Beginner," Computer Programming, Computer Programming Tools, Human Computer Interaction ",1 month,/projects/command-line-basics-linux,,,,,,,,,,0
Build a Full Stack App using React and Express guided project ,4.4 stars,10 reviews,Build a Full Stack App using React and Express guided project by Coursera Project Network,Intermediate," Computer Architecture, Computer Programming, Computer Programming Tools ",1 month,/projects/build-full-stack-app-using-react-express,,,,,,,,,,0
Jazz Improvisation,4.8 stars,778 reviews,Jazz Improvisation course by Berklee,Intermediate," Creativity, Entrepreneurship, Research and Design ",1-3 months,/learn/jazz-improvisation,,,,,,,,,,0
Converter Circuits,4.8 stars,1.3k reviews,Converter Circuits course by University of Colorado Boulder,Intermediate," Research and Design, Computer Architecture, Entrepreneurship ",1 month,/learn/converter-circuits,,,,,,,,,,0
Managing Google Workspace,4.7 stars,925 reviews,Managing Google Workspace course by Google Cloud,Beginner," Computer Programming, Leadership and Management, Computer Programming Tools ",1 month,/learn/managing-google-workspace,,,,,,,,,,0
Build Your Portfolio Website with HTML and CSS guided project ,4.5 stars,1.9k reviews,Build Your Portfolio Website with HTML and CSS guided project by Coursera Project Network,Beginner," HTML and CSS, Web Development, Web Design ",1 month,/projects/build-portfolio-website-html-css,,,,,,,,,,0
Creating Behavioral Change,4.8 stars,93 reviews,Creating Behavioral Change course by Wesleyan University,Beginner," Advertising, Communication, Design and Product ",1 month,/learn/behavioral-change,,,,,,,,,,0
Cypress UI automation testing for absolute beginners guided project ,4.4 stars,26 reviews,Cypress UI automation testing for absolute beginners guided project by Coursera Project Network,beginner," Computer Programming, Computer Programming Tools, Javascript ",1 month,/projects/cypress-ui-automation-testing-for-absolute-beginners,,,,,,,,,,0
Building Web Applications in PHP,4.7 stars,4.1k reviews,Building Web Applications in PHP course by University of Michigan,Intermediate," Web Development, Other Web Programming Languages, HTML and CSS ",1-3 months,/learn/web-applications-php,,,,,,,,,,0
Robotics: Perception,4.3 stars,639 reviews,Robotics: Perception course by University of Pennsylvania,Intermediate," Mathematics, Geometry, Computer Vision ",1 month,/learn/robotics-perception,,,,,,,,,,0
Analyzing Big Data with SQL,4.9 stars,515 reviews,Analyzing Big Data with SQL course by Cloudera,Beginner," Data Management, Databases, SQL ",1-3 months,/learn/cloudera-big-data-analysis-sql-queries,,,,,,,,,,0
Windows OS Forensics,4.7 stars,45 reviews,Windows OS Forensics course by Infosec,Intermediate," Computer Security Incident Management, Security Engineering ",1-3 months,/learn/windows-os-forensics,,,,,,,,,,0
Reviews & Metrics for Software Improvements,4.7 stars,1.6k reviews,Reviews & Metrics for Software Improvements course by University of Alberta,Mixed," Software Engineering, Agile Software Development, Application Development ",1 month,/learn/reviews-and-metrics-for-software-improvements,,,,,,,,,,0
Cloud Computing Law: Data Protection and Cybersecurity,5.0 stars,33 reviews,Cloud Computing Law: Data Protection and Cybersecurity course by Queen Mary University of London,Beginner," Cloud Computing, Computer Networking, Network Security ",1 month,/learn/cloud-computing-law-data-protection-and-cybersecurity,,,,,,,,,,0
GIS Data Acquisition and Map Design,4.9 stars,621 reviews,GIS Data Acquisition and Map Design course by University of Toronto,Beginner," ArcGIS, Data Visualization, Statistical Programming ",1-3 months,/learn/gis-data-acquisition-map-design,,,,,,,,,,0
Secure Full Stack MEAN Developer,4.6 stars,47 reviews,Secure Full Stack MEAN Developer course by EC-Council,Beginner," Web Development, Full-Stack Web Development, Angular ",1-3 months,/learn/secure-full-stack-mean-developer,,,,,,,,,,0
Interactivity with JavaScript,4.7 stars,7.1k reviews,Interactivity with JavaScript course by University of Michigan,Mixed," Computer Programming, Javascript, Web Development ",1 month,/learn/javascript,,,,,,,,,,0
FPGA Capstone:  Building FPGA Projects,4.8 stars,16 reviews,FPGA Capstone:  Building FPGA Projects course by University of Colorado Boulder,Intermediate," Hardware Design, Computer Architecture, Distributed Computing Architecture ",1 month,/learn/capstone-fpga-design,,,,,,,,,,0
FPGA Softcore Processors and IP Acquisition,4.0 stars,73 reviews,FPGA Softcore Processors and IP Acquisition course by University of Colorado Boulder,Intermediate," Computer Architecture, Hardware Design, Computer Graphics ",1 month,/learn/fpga-softcore-proccessors-ip,,,,,,,,,,0
Machine Learning Capstone,4.3 stars,29 reviews,Machine Learning Capstone course by IBM,Intermediate," Machine Learning, Probability & Statistics, Applied Machine Learning ",1-3 months,/learn/machine-learning-capstone,,,,,,,,,,0
Agile Planning for Software Products,4.8 stars,2k reviews,Agile Planning for Software Products course by University of Alberta,Mixed," Agile Software Development, Design and Product, Entrepreneurship ",1 month,/learn/agile-planning-for-software-products,,,,,,,,,,0
Road to the CISO – Culminating Project Course,5.0 stars,15 reviews,Road to the CISO – Culminating Project Course course by University System of Georgia,Intermediate," Accounting, Audit, Computer Networking ",1-3 months,/learn/road-to-ciso,,,,,,,,,,0
Risk Management: Use of Access Controls to Protect Assets,5.0 stars,23 reviews,Risk Management: Use of Access Controls to Protect Assets course by ISC2,Beginner," Computer Networking, Computer Security Incident Management, Finance ",1-3 months,/learn/sscp-4th-ed-course-2,,,,,,,,,,0
Java for Android,4.5 stars,3k reviews,Java for Android course by Vanderbilt University,Beginner," Java Programming, Computer Programming, Android Development ",1-3 months,/learn/java-for-android,,,,,,,,,,0
Creating New BigQuery Datasets and Visualizing Insights,4.6 stars,1.7k reviews,Creating New BigQuery Datasets and Visualizing Insights course by Google Cloud,Beginner," Computer Architecture, Data Management, Databases ",1-3 months,/learn/gcp-creating-bigquery-datasets-visualizing-insights,,,,,,,,,,0
Introducción al desarrollo web,4.6 stars,133 reviews,Introducción al desarrollo web course by Universidad de los Andes,Beginner," HTML and CSS, Web Development, Web Design ",1-3 months,/learn/introduccion-desarrollo-web,,,,,,,,,,0
"Writing, Running, and Fixing Code in C",4.3 stars,757 reviews,Writing,Beginner," C Programming Language Family, Computer Programming, Computer Science ",1 month,/learn/writing-running-fixing-code,,,,,,,,,,0
Web Application Security Testing with OWASP ZAP guided project ,4.2 stars,273 reviews,Web Application Security Testing with OWASP ZAP guided project by Coursera Project Network,Intermediate," Computer Networking, Computer Programming, Cyberattacks ",1 month,/projects/web-application-security-testing-with-owsap-zap,,,,,,,,,,0
Computational Social Science Methods,4.7 stars,313 reviews,Computational Social Science Methods course by University of California,Beginner," Machine Learning, Research and Design, Strategy and Operations ",1 month,/learn/computational-social-science-methods,,,,,,,,,,0
Introduction to Blockchain for Global Commerce,4.7 stars,20 reviews,Introduction to Blockchain for Global Commerce course by INSEAD,Beginner," Finance, BlockChain, FinTech ",1-3 months,/learn/introduction-to-blockchain-for-global-commerce,,,,,,,,,,0
Get Started with Figma guided project ,4.2 stars,507 reviews,Get Started with Figma guided project by Coursera Project Network,Beginner," Business Psychology, Human Computer Interaction, Research and Design ",1 month,/projects/get-started-figma,,,,,,,,,,0
Automatic Machine Learning with H2O AutoML and Python guided project ,4.8 stars,138 reviews,Automatic Machine Learning with H2O AutoML and Python guided project by Coursera Project Network,Intermediate," Computer Programming, Machine Learning, Machine Learning Software ",1 month,/projects/automatic-machine-learning-h2o-automl-python,,,,,,,,,,0
Cómo Invertir en Cripto free,4.8 stars,80 reviews,Cómo Invertir en Cripto free course by Universidad Austral,Beginner," Finance, BlockChain, Cryptography ",1-3 months,/learn/inversiones-en-cripto,,,,,,,,,,0
Desarrollo de software Agile,4.9 stars,34 reviews,Desarrollo de software Agile course by University of Minnesota,Intermediate," Agile Software Development, Software Engineering, Project Management ",1 month,/learn/agile-software-development-es,,,,,,,,,,0
